x	y	car_pre_inf
506367	2124297	5.552156763
506467	2124297	5.560900565
506567	2124297	5.56968747
506667	2124297	5.578517317
503267	2124397	5.287836575
503367	2124397	5.295183446
503467	2124397	5.302578439
503567	2124397	5.310021396
503667	2124397	5.317512158
503767	2124397	5.325050568
503867	2124397	5.332636468
503967	2124397	5.340269697
504067	2124397	5.347950097
504167	2124397	5.355677509
504267	2124397	5.363451774
504367	2124397	5.371272732
504467	2124397	5.379140222
504567	2124397	5.387054086
504667	2124397	5.395014163
504767	2124397	5.403020293
504867	2124397	5.411072315
504967	2124397	5.419170068
505067	2124397	5.427313393
505167	2124397	5.435502129
505267	2124397	5.443736114
505367	2124397	5.452015187
505467	2124397	5.460339187
505567	2124397	5.468707954
505667	2124397	5.477121326
505767	2124397	5.485579141
505867	2124397	5.494081238
505967	2124397	5.502627456
506067	2124397	5.511217633
506167	2124397	5.519851607
506267	2124397	5.528529218
506367	2124397	5.537250303
506467	2124397	5.546014701
506567	2124397	5.55482225
503067	2124497	5.257750811
503167	2124497	5.265019561
503267	2124497	5.272336825
503367	2124497	5.279702444
503467	2124497	5.287116259
503567	2124497	5.294578113
503667	2124497	5.302087845
503767	2124497	5.309645296
503867	2124497	5.317250308
503967	2124497	5.32490272
504067	2124497	5.332602373
504167	2124497	5.340349107
504267	2124497	5.34814276
504367	2124497	5.355983173
504467	2124497	5.363870185
504567	2124497	5.371803635
504667	2124497	5.379783363
504767	2124497	5.387809206
504867	2124497	5.395881005
504967	2124497	5.403998597
505067	2124497	5.41216182
505167	2124497	5.420370514
505267	2124497	5.428624516
505367	2124497	5.436923665
505467	2124497	5.445267799
505567	2124497	5.453656755
505667	2124497	5.462090372
505767	2124497	5.470568487
505867	2124497	5.479090938
505967	2124497	5.487657562
506067	2124497	5.496268199
506167	2124497	5.504922684
506267	2124497	5.513620856
506367	2124497	5.522362552
506467	2124497	5.53114761
506567	2124497	5.539975867
502967	2124597	5.234991792
503067	2124597	5.242230455
503167	2124597	5.249517867
503267	2124597	5.256853869
503367	2124597	5.264238302
503467	2124597	5.271671006
503567	2124597	5.279151822
503667	2124597	5.28668059
503767	2124597	5.294257149
503867	2124597	5.30188134
503967	2124597	5.309553001
504067	2124597	5.317271973
504167	2124597	5.325038093
504267	2124597	5.332851201
504367	2124597	5.340711136
504467	2124597	5.348617736
504567	2124597	5.356570839
504667	2124597	5.364570283
504767	2124597	5.372615906
504867	2124597	5.380707547
504967	2124597	5.388845043
505067	2124597	5.397028231
505167	2124597	5.405256949
