x	y	coe_com_sup
506367	2124297	0.679106795
506467	2124297	0.67596214
506567	2124297	0.672854585
506667	2124297	0.669784757
503267	2124397	0.79256145
503367	2124397	0.788616567
503467	2124397	0.784682142
503567	2124397	0.780759198
503667	2124397	0.776848757
503767	2124397	0.772951832
503867	2124397	0.769069436
503967	2124397	0.765202572
504067	2124397	0.761352238
504167	2124397	0.757519424
504267	2124397	0.753705115
504367	2124397	0.749910286
504467	2124397	0.746135903
504567	2124397	0.742382924
504667	2124397	0.738652297
504767	2124397	0.734944957
504867	2124397	0.731261833
504967	2124397	0.727603839
505067	2124397	0.723971877
505167	2124397	0.720366837
505267	2124397	0.716789597
505367	2124397	0.71324102
505467	2124397	0.709721955
505567	2124397	0.706233236
505667	2124397	0.702775681
505767	2124397	0.699350095
505867	2124397	0.695957262
505967	2124397	0.692597954
506067	2124397	0.689272922
506167	2124397	0.685982901
506267	2124397	0.682728607
506367	2124397	0.679510739
506467	2124397	0.676329974
506567	2124397	0.673186971
503067	2124497	0.802369245
503167	2124497	0.798356186
503267	2124497	0.794351667
503367	2124497	0.790356735
503467	2124497	0.786372439
503567	2124497	0.78239982
503667	2124497	0.778439917
503767	2124497	0.774493763
503867	2124497	0.770562387
503967	2124497	0.766646811
504067	2124497	0.762748051
504167	2124497	0.758867116
504267	2124497	0.755005007
504367	2124497	0.751162718
504467	2124497	0.747341233
504567	2124497	0.743541527
504667	2124497	0.739764565
504767	2124497	0.736011301
504867	2124497	0.73228268
504967	2124497	0.728579633
505067	2124497	0.72490308
505167	2124497	0.721253927
505267	2124497	0.717633068
505367	2124497	0.714041382
505467	2124497	0.710479735
505567	2124497	0.706948974
505667	2124497	0.703449936
505767	2124497	0.699983437
505867	2124497	0.696550279
505967	2124497	0.693151245
506067	2124497	0.689787101
506167	2124497	0.686458597
506267	2124497	0.683166459
506367	2124497	0.6799114
506467	2124497	0.676694108
506567	2124497	0.673515255
502967	2124597	0.808347436
503067	2124597	0.804275762
503167	2124597	0.800211698
503267	2124597	0.796156316
503367	2124597	0.792110683
503467	2124597	0.788075864
503567	2124597	0.784052919
503667	2124597	0.780042906
503767	2124597	0.776046877
503867	2124597	0.772065877
503967	2124597	0.768100949
504067	2124597	0.764153127
504167	2124597	0.760223438
504267	2124597	0.756312901
504367	2124597	0.752422528
504467	2124597	0.748553323
504567	2124597	0.744706277
504667	2124597	0.740882374
504767	2124597	0.737082586
504867	2124597	0.733307876
504967	2124597	0.729559191
505067	2124597	0.725837469
505167	2124597	0.722143634
505267	2124597	0.718478596
505367	2124597	0.714843251
505467	2124597	0.711238479
505567	2124597	0.707665147
505667	2124597	0.704124104
505767	2124597	0.700616184
505867	2124597	0.697142201
505967	2124597	0.693702955
506067	2124597	0.690299226
506167	2124597	0.686931775
506267	2124597	0.683601345
506367	2124597	0.680308658
506467	2124597	0.677054418
502667	2124697	0.822727587
502767	2124697	0.818587463
502867	2124697	0.814451799
502967	2124697	0.810321687
503067	2124697	0.806198219
