x	y	abat_2012_2007
504667	2123497	13.31572092
504767	2123497	13.00715492
504867	2123497	12.65311111
504967	2123497	12.25912607
504067	2123597	12.94168371
504167	2123597	13.08329119
504267	2123597	13.11631899
504367	2123597	13.06178804
504467	2123597	12.93611891
504567	2123597	12.75176327
504667	2123597	12.51845013
504767	2123597	12.24420004
504867	2123597	11.93552852
504967	2123597	11.59730769
505067	2123597	11.23346681
505167	2123597	10.84838375
505267	2123597	10.44789361
503867	2123697	11.21871601
503967	2123697	11.66969458
504067	2123697	11.96832269
504167	2123697	12.13765871
504267	2123697	12.19974703
504367	2123697	12.17312935
504467	2123697	12.07307762
504567	2123697	11.91297815
504667	2123697	11.70608421
504767	2123697	11.46602876
504867	2123697	11.20371937
504967	2123697	10.92283696
505067	2123697	10.62120508
505167	2123697	10.29661619
505267	2123697	9.950133387
505367	2123697	9.586440376
505467	2123697	9.213699534
505567	2123697	8.843916707
503867	2123797	10.27006666
503967	2123797	10.72514094
504067	2123797	11.03067303
504167	2123797	11.21424082
504267	2123797	11.29611791
504367	2123797	11.29156828
504467	2123797	11.21331511
504567	2123797	11.07382697
504667	2123797	10.88850034
504767	2123797	10.67849236
504867	2123797	10.46383856
504967	2123797	10.24572152
505067	2123797	10.01048605
505167	2123797	9.747654767
505267	2123797	9.454085851
505367	2123797	9.131646474
505467	2123797	8.785933719
505567	2123797	8.42707246
505667	2123797	8.072632328
505767	2123797	7.750139408
503767	2123897	8.755895371
503867	2123897	9.393761405
503967	2123897	9.830000252
504067	2123897	10.12702604
504167	2123897	10.31655878
504267	2123897	10.41377885
504367	2123897	10.42910825
504467	2123897	10.37151888
504567	2123897	10.25030569
504667	2123897	10.07900843
504767	2123897	9.887270464
504867	2123897	9.723234947
504967	2123897	9.580563445
505067	2123897	9.417937639
505167	2123897	9.218038868
505267	2123897	8.976705733
505367	2123897	8.694051625
505467	2123897	8.372453012
505567	2123897	8.017512131
505667	2123897	7.643204417
505767	2123897	7.288387864
