x	y	coe_com_inf
506367	2124297	2.502254289
506467	2124297	2.506845564
506567	2124297	2.511448595
506667	2124297	2.516063316
503267	2124397	2.360475992
503367	2124397	2.364679124
503467	2124397	2.36889616
503567	2124397	2.373127025
503667	2124397	2.377371646
503767	2124397	2.381629949
503867	2124397	2.385901861
503967	2124397	2.39018731
504067	2124397	2.394486222
504167	2124397	2.398798525
504267	2124397	2.403124147
504367	2124397	2.407463017
504467	2124397	2.411815064
504567	2124397	2.416180214
504667	2124397	2.420558399
504767	2124397	2.424949548
504867	2124397	2.429353589
504967	2124397	2.433770453
505067	2124397	2.438200071
505167	2124397	2.442642373
505267	2124397	2.44709729
505367	2124397	2.451564753
505467	2124397	2.456044694
505567	2124397	2.460537044
505667	2124397	2.465041736
505767	2124397	2.469558702
505867	2124397	2.474087875
505967	2124397	2.478629187
506067	2124397	2.483182573
506167	2124397	2.487747966
506267	2124397	2.492325299
506367	2124397	2.496914508
506467	2124397	2.501515527
506567	2124397	2.50612829
503067	2124497	2.346454073
503167	2124497	2.350639154
503267	2124497	2.354838285
503367	2124497	2.359051392
503467	2124497	2.363278401
503567	2124497	2.367519237
503667	2124497	2.371773826
503767	2124497	2.376042094
503867	2124497	2.380323968
503967	2124497	2.384619374
504067	2124497	2.38892824
504167	2124497	2.393250493
504267	2124497	2.39758606
504367	2124497	2.40193487
504467	2124497	2.40629685
504567	2124497	2.41067193
504667	2124497	2.415060038
504767	2124497	2.419461103
504867	2124497	2.423875054
504967	2124497	2.428301822
505067	2124497	2.432741336
505167	2124497	2.437193527
505267	2124497	2.441658325
505367	2124497	2.446135661
505467	2124497	2.450625467
505567	2124497	2.455127673
505667	2124497	2.459642213
505767	2124497	2.464169017
505867	2124497	2.468708019
505967	2124497	2.473259151
506067	2124497	2.477822347
506167	2124497	2.48239754
506267	2124497	2.486984663
506367	2124497	2.491583651
506467	2124497	2.496194438
506567	2124497	2.500816959
502967	2124597	2.336623455
503067	2124597	2.340804422
503167	2124597	2.344999514
503267	2124597	2.349208655
503367	2124597	2.35343177
503467	2124597	2.357668785
503567	2124597	2.361919624
503667	2124597	2.366184214
503767	2124597	2.370462479
503867	2124597	2.374754346
503967	2124597	2.379059742
504067	2124597	2.383378593
504167	2124597	2.387710826
504267	2124597	2.392056369
504367	2124597	2.396415149
504467	2124597	2.400787094
504567	2124597	2.405172133
504667	2124597	2.409570193
504767	2124597	2.413981204
504867	2124597	2.418405095
504967	2124597	2.422841795
505067	2124597	2.427291234
505167	2124597	2.431753342
505267	2124597	2.436228049
505367	2124597	2.440715286
505467	2124597	2.445214984
505567	2124597	2.449727075
505667	2124597	2.454251489
505767	2124597	2.458788159
505867	2124597	2.463337017
505967	2124597	2.467897995
506067	2124597	2.472471027
506167	2124597	2.477056045
506267	2124597	2.481652984
506367	2124597	2.486261777
506467	2124597	2.490882357
502667	2124697	2.318484288
502767	2124697	2.322632473
502867	2124697	2.32679501
502967	2124697	2.330971824
503067	2124697	2.335162838
503167	2124697	2.339367975
503267	2124697	2.34358716
503367	2124697	2.347820316
503467	2124697	2.35206737
503567	2124697	2.356328245
503667	2124697	2.360602867
503767	2124697	2.364891161
503867	2124697	2.369193054
503967	2124697	2.373508471
504067	2124697	2.377837338
504167	2124697	2.382179583
504267	2124697	2.386535133
504367	2124697	2.390903914
504467	2124697	2.395285854
504567	2124697	2.399680881
504667	2124697	2.404088924
504767	2124697	2.408509911
504867	2124697	2.41294377
504967	2124697	2.417390431
505067	2124697	2.421849823
505167	2124697	2.426321877
505267	2124697	2.430806521
505367	2124697	2.435303687
505467	2124697	2.439813305
505567	2124697	2.444335307
505667	2124697	2.448869623
505767	2124697	2.453416185
505867	2124697	2.457974925
505967	2124697	2.462545776
506067	2124697	2.46712867
506167	2124697	2.47172354
506267	2124697	2.476330319
506367	2124697	2.480948942
506467	2124697	2.485579341
502367	2124797	2.300422586
502467	2124797	2.304537332
502567	2124797	2.308666663
502667	2124797	2.312810502
502767	2124797	2.31696877
502867	2124797	2.32114139
502967	2124797	2.325328286
503067	2124797	2.32952938
503167	2124797	2.333744596
503267	2124797	2.337973858
503367	2124797	2.342217089
503467	2124797	2.346474214
503567	2124797	2.350745158
503667	2124797	2.355029845
503767	2124797	2.359328201
503867	2124797	2.36364015
503967	2124797	2.36796562
504067	2124797	2.372304535
504167	2124797	2.376656823
504267	2124797	2.38102241
504367	2124797	2.385401222
504467	2124797	2.389793187
504567	2124797	2.394198234
504667	2124797	2.398616288
504767	2124797	2.40304728
504867	2124797	2.407491137
504967	2124797	2.411947788
505067	2124797	2.416417163
505167	2124797	2.42089919
505267	2124797	2.4253938
505367	2124797	2.429900923
505467	2124797	2.434420489
505567	2124797	2.438952428
505667	2124797	2.443496673
505767	2124797	2.448053154
505867	2124797	2.452621803
505967	2124797	2.457202553
506067	2124797	2.461795335
506167	2124797	2.466400082
506267	2124797	2.471016727
506367	2124797	2.475645204
506467	2124797	2.480285447
502267	2124897	2.290616293
502367	2124897	2.294726493
502467	2124897	2.298851357
502567	2124897	2.302990806
502667	2124897	2.307144763
502767	2124897	2.311313149
502867	2124897	2.315495887
502967	2124897	2.319692898
503067	2124897	2.323904107
503167	2124897	2.328129436
503267	2124897	2.332368808
503367	2124897	2.336622147
503467	2124897	2.340889377
503567	2124897	2.345170422
503667	2124897	2.349465206
503767	2124897	2.353773656
503867	2124897	2.358095694
503967	2124897	2.362431248
504067	2124897	2.366780243
504167	2124897	2.371142604
504267	2124897	2.375518259
504367	2124897	2.379907133
504467	2124897	2.384309154
504567	2124897	2.388724249
504667	2124897	2.393152346
504767	2124897	2.397593372
504867	2124897	2.402047256
504967	2124897	2.406513926
505067	2124897	2.410993311
505167	2124897	2.415485341
505267	2124897	2.419989944
505367	2124897	2.424507052
505467	2124897	2.429036593
505567	2124897	2.433578498
505667	2124897	2.438132698
505767	2124897	2.442699125
505867	2124897	2.44727771
505967	2124897	2.451868384
506067	2124897	2.45647108
506167	2124897	2.46108573
506267	2124897	2.465712267
506367	2124897	2.470350624
502167	2124997	2.280812439
502267	2124997	2.284918047
502367	2124997	2.2890384
502467	2124997	2.293173417
502567	2124997	2.29732302
502667	2124997	2.30148713
502767	2124997	2.305665669
502867	2124997	2.309858559
502967	2124997	2.314065721
503067	2124997	2.318287078
503167	2124997	2.322522553
503267	2124997	2.326772069
503367	2124997	2.331035549
503467	2124997	2.335312917
503567	2124997	2.339604096
503667	2124997	2.343909011
503767	2124997	2.348227586
503867	2124997	2.352559745
503967	2124997	2.356905415
504067	2124997	2.36126452
504167	2124997	2.365636987
504267	2124997	2.37002274
504367	2124997	2.374421707
504467	2124997	2.378833814
504567	2124997	2.383258988
504667	2124997	2.387697156
504767	2124997	2.392148246
504867	2124997	2.396612186
504967	2124997	2.401088904
505067	2124997	2.405578328
505167	2124997	2.410080389
505267	2124997	2.414595014
505367	2124997	2.419122133
505467	2124997	2.423661677
505567	2124997	2.428213575
505667	2124997	2.432777758
505767	2124997	2.437354157
505867	2124997	2.441942704
505967	2124997	2.446543329
506067	2124997	2.451155964
506167	2124997	2.455780543
506267	2124997	2.460416997
506367	2124997	2.465065259
502067	2125097	2.271011057
502167	2125097	2.275112029
502267	2125097	2.279227825
502367	2125097	2.283358366
502467	2125097	2.287503573
502567	2125097	2.291663365
502667	2125097	2.295837664
502767	2125097	2.300026391
502867	2125097	2.304229467
502967	2125097	2.308446814
503067	2125097	2.312678354
503167	2125097	2.316924009
503267	2125097	2.321183702
503367	2125097	2.325457357
503467	2125097	2.329744895
503567	2125097	2.334046241
503667	2125097	2.338361318
503767	2125097	2.342690051
503867	2125097	2.347032364
503967	2125097	2.351388181
504067	2125097	2.355757428
504167	2125097	2.360140031
504267	2125097	2.364535914
504367	2125097	2.368945003
504467	2125097	2.373367226
504567	2125097	2.377802509
504667	2125097	2.382250778
504767	2125097	2.386711962
504867	2125097	2.391185987
504967	2125097	2.395672782
505067	2125097	2.400172274
505167	2125097	2.404684393
505267	2125097	2.409209068
505367	2125097	2.413746227
505467	2125097	2.418295801
505567	2125097	2.42285772
505667	2125097	2.427431912
505767	2125097	2.432018311
505867	2125097	2.436616845
505967	2125097	2.441227447
506067	2125097	2.445850048
506167	2125097	2.450484581
506267	2125097	2.455130976
506367	2125097	2.459789169
501967	2125197	2.261212181
502067	2125197	2.26530847
502167	2125197	2.269419666
502267	2125197	2.273545687
502367	2125197	2.277686453
502467	2125197	2.281841884
502567	2125197	2.286011901
502667	2125197	2.290196424
502767	2125197	2.294395373
502867	2125197	2.29860867
502967	2125197	2.302836237
503067	2125197	2.307077994
503167	2125197	2.311333863
503267	2125197	2.315603768
503367	2125197	2.319887629
503467	2125197	2.324185371
503567	2125197	2.328496917
503667	2125197	2.332822189
503767	2125197	2.337161112
503867	2125197	2.34151361
503967	2125197	2.345879606
504067	2125197	2.350259027
504167	2125197	2.354651796
504267	2125197	2.35905784
504367	2125197	2.363477083
504467	2125197	2.367909452
504567	2125197	2.372354874
504667	2125197	2.376813274
504767	2125197	2.38128458
504867	2125197	2.38576872
504967	2125197	2.39026562
505067	2125197	2.394775209
505167	2125197	2.399297415
505267	2125197	2.403832168
505367	2125197	2.408379395
505467	2125197	2.412939026
505567	2125197	2.417510992
505667	2125197	2.422095221
505767	2125197	2.426691645
505867	2125197	2.431300194
505967	2125197	2.435920799
506067	2125197	2.440553391
506167	2125197	2.445197903
506267	2125197	2.449854266
501867	2125297	2.251415848
501967	2125297	2.255507407
502067	2125297	2.259613955
502167	2125297	2.263735411
502267	2125297	2.267871692
502367	2125297	2.272022719
502467	2125297	2.276188412
502567	2125297	2.280368689
502667	2125297	2.284563471
502767	2125297	2.288772678
502867	2125297	2.292996231
502967	2125297	2.297234051
503067	2125297	2.301486059
503167	2125297	2.305752176
503267	2125297	2.310032326
503367	2125297	2.314326428
503467	2125297	2.318634407
503567	2125297	2.322956185
503667	2125297	2.327291685
503767	2125297	2.33164083
503867	2125297	2.336003545
503967	2125297	2.340379752
504067	2125297	2.344769377
504167	2125297	2.349172345
504267	2125297	2.353588579
504367	2125297	2.358018007
504467	2125297	2.362460553
504567	2125297	2.366916143
504667	2125297	2.371384704
504767	2125297	2.375866162
504867	2125297	2.380360445
504967	2125297	2.38486748
505067	2125297	2.389387194
505167	2125297	2.393919516
505267	2125297	2.398464373
505367	2125297	2.403021696
505467	2125297	2.407591412
505567	2125297	2.412173452
505667	2125297	2.416767745
505767	2125297	2.421374221
505867	2125297	2.42599281
505967	2125297	2.430623444
506067	2125297	2.435266053
506167	2125297	2.43992057
506267	2125297	2.444586926
501767	2125397	2.241622092
501867	2125397	2.245708874
501967	2125397	2.249810728
502067	2125397	2.253927572
502167	2125397	2.258059324
502267	2125397	2.262205903
502367	2125397	2.266367227
502467	2125397	2.270543216
502567	2125397	2.274733789
502667	2125397	2.278938866
502767	2125397	2.283158365
502867	2125397	2.287392209
502967	2125397	2.291640317
503067	2125397	2.295902611
503167	2125397	2.30017901
503267	2125397	2.304469438
503367	2125397	2.308773815
503467	2125397	2.313092064
503567	2125397	2.317424107
503667	2125397	2.321769867
503767	2125397	2.326129267
503867	2125397	2.33050223
503967	2125397	2.33488868
504067	2125397	2.339288541
504167	2125397	2.343701738
504267	2125397	2.348128195
504367	2125397	2.352567837
504467	2125397	2.357020589
504567	2125397	2.361486378
504667	2125397	2.365965129
504767	2125397	2.370456769
504867	2125397	2.374961224
504967	2125397	2.379478422
505067	2125397	2.38400829
505167	2125397	2.388550755
505267	2125397	2.393105747
505367	2125397	2.397673192
505467	2125397	2.402253021
505567	2125397	2.406845162
505667	2125397	2.411449545
505767	2125397	2.416066099
505867	2125397	2.420694756
505967	2125397	2.425335444
506067	2125397	2.429988096
506167	2125397	2.434652643
506267	2125397	2.439329016
501667	2125497	2.23183095
501767	2125497	2.235912906
501867	2125497	2.240010019
