x	y	abat_2017_2012
504667	2123497	-0.968625648
504767	2123497	-0.708848475
504867	2123497	-0.518463741
504967	2123497	-0.400517792
504067	2123597	-2.113983164
504167	2123597	-1.866210283
504267	2123597	-1.550943318
504367	2123597	-1.20576913
504467	2123597	-0.861977557
504567	2123597	-0.546299669
504667	2123597	-0.282312147
504767	2123597	-0.089740589
504867	2123597	0.018768036
504967	2123597	0.040599152
505067	2123597	-0.018194203
505167	2123597	-0.147959158
505267	2123597	-0.340076809
503867	2123697	-1.271152882
503967	2123697	-1.311180288
504067	2123697	-1.186788901
504167	2123697	-0.954066081
504267	2123697	-0.661135585
504367	2123697	-0.34526627
504467	2123697	-0.036324307
504567	2123697	0.239017666
504667	2123697	0.454067615
504767	2123697	0.582461623
504867	2123697	0.605680488
504967	2123697	0.522633589
505067	2123697	0.347236747
505167	2123697	0.096716114
505267	2123697	-0.215638578
505367	2123697	-0.581476393
505467	2123697	-0.99601908
505567	2123697	-1.456039542
503867	2123797	-0.382176322
503967	2123797	-0.413522996
504067	2123797	-0.269551232
504167	2123797	-0.031285732
504267	2123797	0.250401598
504367	2123797	0.54296048
504467	2123797	0.821791488
504567	2123797	1.063506196
504667	2123797	1.239603374
504767	2123797	1.311889721
504867	2123797	1.246065656
504967	2123797	1.044924631
505067	2123797	0.741105168
505167	2123797	0.363651192
505267	2123797	-0.070118646
505367	2123797	-0.550228549
505467	2123797	-1.070061848
505567	2123797	-1.623308572
505667	2123797	-2.200346152
505767	2123797	-2.784938354
503767	2123897	0.772448452
503867	2123897	0.438162587
503967	2123897	0.477033285
504067	2123897	0.672916954
504167	2123897	0.924768114
504267	2123897	1.193729414
504367	2123897	1.458904627
504467	2123897	1.704358284
504567	2123897	1.913877285
504667	2123897	2.06354019
504767	2123897	2.100470518
504867	2123897	1.939101496
504967	2123897	1.595270134
505067	2123897	1.15056764
505167	2123897	0.644042205
505267	2123897	0.091664668
505367	2123897	-0.49743238
505467	2123897	-1.116207052
505567	2123897	-1.75750175
505667	2123897	-2.410109399
505767	2123897	-3.04736696
505867	2123897	-3.624720668
505967	2123897	-4.148812028
506067	2123897	-4.658931849
506167	2123897	-5.17106739
506267	2123897	-5.688049616
506367	2123897	-6.207450855
506467	2123897	-6.72193009
506567	2123897	-7.213571805
506667	2123897	-7.632739738
506767	2123897	-7.830118433
503667	2123997	2.658944427
503767	2123997	1.589783411
503867	2123997	1.265849297
503967	2123997	1.466108859
504067	2123997	1.703219089
504167	2123997	1.944508647
504267	2123997	2.179970612
504367	2123997	2.400844468
504467	2123997	2.598004554
504567	2123997	2.762125825
504667	2123997	2.883042508
504767	2123997	2.933616664
504867	2123997	2.65570771
504967	2123997	2.133308448
505067	2123997	1.550601665
505167	2123997	0.923899808
505267	2123997	0.261790985
505367	2123997	-0.427353553
505467	2123997	-1.135212358
505567	2123997	-1.853891531
505667	2123997	-2.575708025
505767	2123997	-3.28482642
