x	y	car_pre_sup
503767	2124697	2.086914394
503867	2124697	2.088881308
503967	2124697	2.090876029
504067	2124697	2.092898524
504167	2124697	2.094948755
504267	2124697	2.097026689
504367	2124697	2.099132289
504467	2124697	2.101265519
504567	2124697	2.103426342
504667	2124697	2.105614721
504767	2124697	2.107830619
504867	2124697	2.110073997
504967	2124697	2.112344815
505067	2124697	2.114643035
505167	2124697	2.116968616
505267	2124697	2.119321516
505367	2124697	2.121701693
505467	2124697	2.124109104
505567	2124697	2.126543705
505667	2124697	2.129005451
505767	2124697	2.131494295
505867	2124697	2.134010191
505967	2124697	2.13655309
506067	2124697	2.139122942
506167	2124697	2.141719696
506267	2124697	2.144343301
506367	2124697	2.146993702
506467	2124697	2.149670846
502367	2124797	2.055075953
502467	2124797	2.056655551
502567	2124797	2.058263493
502667	2124797	2.059899742
502767	2124797	2.061564265
502867	2124797	2.063257026
502967	2124797	2.06497799
503067	2124797	2.066727124
503167	2124797	2.068504393
503267	2124797	2.070309764
503367	2124797	2.072143203
503467	2124797	2.074004677
503567	2124797	2.075894153
503667	2124797	2.077811595
503767	2124797	2.079756972
503867	2124797	2.081730249
503967	2124797	2.083731393
504067	2124797	2.085760369
504167	2124797	2.087817144
504267	2124797	2.089901683
504367	2124797	2.09201395
504467	2124797	2.094153911
504567	2124797	2.09632153
504667	2124797	2.09851677
504767	2124797	2.100739595
504867	2124797	2.102989968
504967	2124797	2.105267849
505067	2124797	2.107573201
505167	2124797	2.109905983
505267	2124797	2.112266155
505367	2124797	2.114653676
505467	2124797	2.117068503
505567	2124797	2.119510593
505667	2124797	2.121979903
505767	2124797	2.124476385
505867	2124797	2.126999995
505967	2124797	2.129550683
506067	2124797	2.132128402
506167	2124797	2.1347331
506267	2124797	2.137364727
506367	2124797	2.140023229
506467	2124797	2.142708552
502267	2124897	2.046285664
502367	2124897	2.047842466
502467	2124897	2.049427694
502567	2124897	2.051041313
502667	2124897	2.052683288
502767	2124897	2.054353584
502867	2124897	2.056052169
502967	2124897	2.057779008
503067	2124897	2.059534067
503167	2124897	2.061317314
503267	2124897	2.063128715
503367	2124897	2.064968238
503467	2124897	2.06683585
503567	2124897	2.068731519
503667	2124897	2.070655211
503767	2124897	2.072606895
503867	2124897	2.074586537
503967	2124897	2.076594105
504067	2124897	2.078629565
504167	2124897	2.080692884
504267	2124897	2.082784029
504367	2124897	2.084902965
504467	2124897	2.087049659
504567	2124897	2.089224075
504667	2124897	2.091426179
504767	2124897	2.093655933
504867	2124897	2.095913302
504967	2124897	2.098198249
505067	2124897	2.100510735
505167	2124897	2.102850722
505267	2124897	2.105218171
505367	2124897	2.10761304
505467	2124897	2.110035288
505567	2124897	2.112484873
505667	2124897	2.114961752
505767	2124897	2.117465879
505867	2124897	2.11999721
505967	2124897	2.122555696
506067	2124897	2.12514129
506167	2124897	2.127753942
506267	2124897	2.130393601
506367	2124897	2.133060216
502167	2124997	2.037520104
502267	2124997	2.039053988
502367	2124997	2.04061638
502467	2124997	2.042207244
502567	2124997	2.043826546
502667	2124997	2.045474252
502767	2124997	2.047150328
502867	2124997	2.048854741
502967	2124997	2.050587457
503067	2124997	2.052348445
503167	2124997	2.054137672
503267	2124997	2.055955106
503367	2124997	2.057800715
503467	2124997	2.059674467
503567	2124997	2.06157633
503667	2124997	2.063506274
503767	2124997	2.065464265
503867	2124997	2.067450272
503967	2124997	2.069464264
504067	2124997	2.071506209
504167	2124997	2.073576073
504267	2124997	2.075673825
504367	2124997	2.077799431
504467	2124997	2.079952858
504567	2124997	2.082134072
504667	2124997	2.084343039
504767	2124997	2.086579724
504867	2124997	2.088844092
504967	2124997	2.091136105
505067	2124997	2.093455728
505167	2124997	2.095802923
505267	2124997	2.09817765
505367	2124997	2.100579871
505467	2124997	2.103009544
505567	2124997	2.105466629
505667	2124997	2.107951082
505767	2124997	2.11046286
505867	2124997	2.113001918
505967	2124997	2.115568209
506067	2124997	2.118161686
506167	2124997	2.120782301
506267	2124997	2.123430002
506367	2124997	2.126104739
502067	2125097	2.028779539
502167	2125097	2.030290388
502267	2125097	2.031829824
502367	2125097	2.033397812
502467	2125097	2.034994318
502567	2125097	2.036619308
502667	2125097	2.038272749
502767	2125097	2.039954608
502867	2125097	2.041664852
502967	2125097	2.04340345
503067	2125097	2.045170368
503167	2125097	2.046965577
503267	2125097	2.048789045
503367	2125097	2.050640741
503467	2125097	2.052520633
503567	2125097	2.054428692
503667	2125097	2.056364886
503767	2125097	2.058329185
503867	2125097	2.060321558
503967	2125097	2.062341974
504067	2125097	2.064390402
504167	2125097	2.066466811
504267	2125097	2.068571168
504367	2125097	2.070703443
504467	2125097	2.072863603
504567	2125097	2.075051615
504667	2125097	2.077267446
504767	2125097	2.079511062
504867	2125097	2.081782428
504967	2125097	2.08408151
505067	2125097	2.086408271
505167	2125097	2.088762674
505267	2125097	2.091144683
505367	2125097	2.093554257
505467	2125097	2.095991359
505567	2125097	2.098455946
505667	2125097	2.100947978
505767	2125097	2.103467411
505867	2125097	2.106014202
505967	2125097	2.108588304
506067	2125097	2.111189672
506167	2125097	2.113818257
506267	2125097	2.11647401
506367	2125097	2.119156879
501967	2125197	2.020064235
502067	2125197	2.021551932
502167	2125197	2.023068295
502267	2125197	2.024613289
502367	2125197	2.026186879
502467	2125197	2.027789032
502567	2125197	2.029419715
502667	2125197	2.031078894
502767	2125197	2.032766539
502867	2125197	2.034482617
502967	2125197	2.036227097
503067	2125197	2.037999948
503167	2125197	2.03980114
503267	2125197	2.041630642
503367	2125197	2.043488425
503467	2125197	2.045374457
503567	2125197	2.047288711
503667	2125197	2.049231155
503767	2125197	2.051201761
503867	2125197	2.053200498
503967	2125197	2.055227336
504067	2125197	2.057282247
504167	2125197	2.059365198
504267	2125197	2.061476161
504367	2125197	2.063615103
504467	2125197	2.065781995
504567	2125197	2.067976803
504667	2125197	2.070199497
504767	2125197	2.072450042
504867	2125197	2.074728407
504967	2125197	2.077034556
505067	2125197	2.079368454
505167	2125197	2.081730067
505267	2125197	2.084119357
505367	2125197	2.086536287
505467	2125197	2.088980819
505567	2125197	2.091452911
505667	2125197	2.093952525
505767	2125197	2.096479618
505867	2125197	2.099034146
505967	2125197	2.101616065
506067	2125197	2.10422533
506167	2125197	2.106861892
506267	2125197	2.109525703
501867	2125297	2.011374453
501967	2125297	2.012838886
502067	2125297	2.014332062
502167	2125297	2.015853946
502267	2125297	2.017404503
502367	2125297	2.0189837
502467	2125297	2.020591504
502567	2125297	2.022227883
502667	2125297	2.023892804
502767	2125297	2.025586237
502867	2125297	2.02730815
502967	2125297	2.029058514
503067	2125297	2.030837298
503167	2125297	2.032644473
503267	2125297	2.034480009
503367	2125297	2.036343878
503467	2125297	2.03823605
503567	2125297	2.040156496
503667	2125297	2.042105189
503767	2125297	2.044082099
503867	2125297	2.046087198
503967	2125297	2.048120457
504067	2125297	2.050181846
504167	2125297	2.052271338
504267	2125297	2.054388903
504367	2125297	2.05653451
504467	2125297	2.058708131
504567	2125297	2.060909733
504667	2125297	2.063139287
504767	2125297	2.06539676
504867	2125297	2.067682121
504967	2125297	2.069995336
505067	2125297	2.072336372
505167	2125297	2.074705193
505267	2125297	2.077101765
505367	2125297	2.079526051
505467	2125297	2.081978013
505567	2125297	2.084457613
505667	2125297	2.08696481
505767	2125297	2.089499565
505867	2125297	2.092061835
505967	2125297	2.094651575
506067	2125297	2.097268741
506167	2125297	2.099913287
506267	2125297	2.102585165
501767	2125397	2.002710454
501867	2125397	2.004151514
501967	2125397	2.005621392
502067	2125397	2.007120053
502167	2125397	2.008647463
502267	2125397	2.010203589
502367	2125397	2.011788397
502467	2125397	2.013401856
502567	2125397	2.015043933
502667	2125397	2.016714598
502767	2125397	2.01841382
502867	2125397	2.02014157
502967	2125397	2.021897817
503067	2125397	2.023682534
503167	2125397	2.025495691
503267	2125397	2.02733726
503367	2125397	2.029207212
503467	2125397	2.031105521
503567	2125397	2.033032158
503667	2125397	2.034987097
503767	2125397	2.036970308
503867	2125397	2.038981765
503967	2125397	2.041021441
504067	2125397	2.043089307
504167	2125397	2.045185335
504267	2125397	2.047309498
504367	2125397	2.049461767
504467	2125397	2.051642112
504567	2125397	2.053850505
504667	2125397	2.056086916
504767	2125397	2.058351314
504867	2125397	2.060643668
504967	2125397	2.062963947
505067	2125397	2.065312117
505167	2125397	2.067688146
505267	2125397	2.070091998
505367	2125397	2.072523639
505467	2125397	2.074983031
505567	2125397	2.077470139
505667	2125397	2.079984922
505767	2125397	2.08252734
505867	2125397	2.085097354
505967	2125397	2.087694919
506067	2125397	2.090319991
506167	2125397	2.092972526
506267	2125397	2.095652476
501667	2125497	1.994072498
501767	2125497	1.995490076
501867	2125497	1.996936548
501967	2125497	1.998411878
502067	2125497	1.99991603
502167	2125497	2.001448972
502267	2125497	2.003010671
502367	2125497	2.004601093
502467	2125497	2.006220209
502567	2125497	2.007867987
502667	2125497	2.009544396
502767	2125497	2.011249409
502867	2125497	2.012982994
502967	2125497	2.014745125
503067	2125497	2.016535773
503167	2125497	2.01835491
503267	2125497	2.020202509
503367	2125497	2.022078543
503467	2125497	2.023982986
503567	2125497	2.02591581
503667	2125497	2.02787699
503767	2125497	2.029866498
503867	2125497	2.03188431
503967	2125497	2.033930397
504067	2125497	2.036004735
504167	2125497	2.038107295
504267	2125497	2.040238051
504367	2125497	2.042396976
504467	2125497	2.044584042
504567	2125497	2.046799221
504667	2125497	2.049042484
504767	2125497	2.051313803
504867	2125497	2.053613146
504967	2125497	2.055940485
505067	2125497	2.058295786
505167	2125497	2.060679019
505267	2125497	2.063090149
505367	2125497	2.065529143
505467	2125497	2.067995965
505567	2125497	2.070490579
505667	2125497	2.073012947
505767	2125497	2.075563031
505867	2125497	2.07814079
505967	2125497	2.080746182
506067	2125497	2.083379164
506167	2125497	2.086039692
501567	2125597	1.985460838
501667	2125597	1.986854833
501767	2125597	1.988277794
501867	2125597	1.989729685
501967	2125597	1.991210473
502067	2125597	1.992720122
502167	2125597	1.994258599
502267	2125597	1.995825874
502367	2125597	1.997421914
502467	2125597	1.999046689
502567	2125597	2.000700168
502667	2125597	2.002382323
502767	2125597	2.004093125
502867	2125597	2.005832545
502967	2125597	2.007600557
503067	2125597	2.009397134
503167	2125597	2.011222248
503267	2125597	2.013075875
503367	2125597	2.014957986
503467	2125597	2.016868558
503567	2125597	2.018807565
503667	2125597	2.020774981
503767	2125597	2.022770782
503867	2125597	2.024794942
503967	2125597	2.026847436
504067	2125597	2.028928238
504167	2125597	2.031037324
504267	2125597	2.033174668
504367	2125597	2.035340243
504467	2125597	2.037534024
504567	2125597	2.039755983
504667	2125597	2.042006093
504767	2125597	2.044284326
504867	2125597	2.046590654
504967	2125597	2.048925047
505067	2125597	2.051287475
505167	2125597	2.053677908
505267	2125597	2.056096313
505367	2125597	2.058542657
505467	2125597	2.061016906
505567	2125597	2.063519025
505667	2125597	2.066048977
505767	2125597	2.068606726
505867	2125597	2.07119223
505967	2125597	2.073805451
506067	2125597	2.076446346
506167	2125597	2.07911487
501467	2125697	1.97687573
501567	2125697	1.97824604
501667	2125697	1.979645389
501767	2125697	1.981073739
501867	2125697	1.982531056
501967	2125697	1.984017307
502067	2125697	1.985532457
502167	2125697	1.987076474
502267	2125697	1.988649328
502367	2125697	1.990250987
502467	2125697	1.991881421
502567	2125697	1.993540602
502667	2125697	1.995228502
502767	2125697	1.996945092
502867	2125697	1.998690346
502967	2125697	2.000464237
503067	2125697	2.002266739
503167	2125697	2.004097827
503267	2125697	2.005957476
503367	2125697	2.00784566
503467	2125697	2.009762356
503567	2125697	2.01170754
503667	2125697	2.013681186
503767	2125697	2.015683273
503867	2125697	2.017713774
503967	2125697	2.019772668
504067	2125697	2.021859929
504167	2125697	2.023975533
504267	2125697	2.026119457
504367	2125697	2.028291675
504467	2125697	2.030492163
504567	2125697	2.032720895
504667	2125697	2.034977845
504767	2125697	2.037262986
504867	2125697	2.039576292
504967	2125697	2.041917734
505067	2125697	2.044287283
505167	2125697	2.04668491
505267	2125697	2.049110585
505367	2125697	2.051564275
505467	2125697	2.054045947
505567	2125697	2.056555568
505667	2125697	2.059093103
505767	2125697	2.061658515
505867	2125697	2.064251765
505967	2125697	2.066872814
506067	2125697	2.069521622
506167	2125697	2.072198145
501367	2125797	1.968317424
501467	2125797	1.969663952
501567	2125797	1.971039589
501667	2125797	1.972444299
501767	2125797	1.973878046
501867	2125797	1.975340795
501967	2125797	1.976832514
502067	2125797	1.978353168
502167	2125797	1.979902728
502267	2125797	1.981481163
502367	2125797	1.983088442
502467	2125797	1.984724536
502567	2125797	1.986389419
502667	2125797	1.988083061
502767	2125797	1.989805438
502867	2125797	1.991556522
502967	2125797	1.993336288
503067	2125797	1.995144711
503167	2125797	1.996981768
503267	2125797	1.998847434
503367	2125797	2.000741685
503467	2125797	2.002664499
503567	2125797	2.004615852
503667	2125797	2.006595722
503767	2125797	2.008604086
503867	2125797	2.010640921
503967	2125797	2.012706206
504067	2125797	2.014799917
504167	2125797	2.016922032
504267	2125797	2.019072527
504367	2125797	2.02125138
504467	2125797	2.023458567
504567	2125797	2.025694063
504667	2125797	2.027957844
504767	2125797	2.030249886
504867	2125797	2.032570162
504967	2125797	2.034918645
505067	2125797	2.037295309
505167	2125797	2.039700124
505267	2125797	2.042133062
505367	2125797	2.044594093
505467	2125797	2.047083184
505567	2125797	2.049600303
505667	2125797	2.052145416
505767	2125797	2.054718488
505867	2125797	2.057319482
505967	2125797	2.05994836
506067	2125797	2.062605081
506167	2125797	2.065289604
501367	2125897	1.961108819
501467	2125897	1.96246065
501567	2125897	1.963841623
501667	2125897	1.965251702
501767	2125897	1.966690851
501867	2125897	1.968159037
501967	2125897	1.969656228
502067	2125897	1.971182391
502167	2125897	1.972737495
502267	2125897	1.974321511
502367	2125897	1.975934411
502467	2125897	1.977576165
502567	2125897	1.979246747
502667	2125897	1.98094613
502767	2125897	1.982674289
502867	2125897	1.9844312
502967	2125897	1.986216836
503067	2125897	1.988031176
503167	2125897	1.989874195
503267	2125897	1.991745871
503367	2125897	1.993646182
503467	2125897	1.995575106
503567	2125897	1.997532621
503667	2125897	1.999518706
503767	2125897	2.001533339
503867	2125897	2.0035765
503967	2125897	2.005648166
504067	2125897	2.007748318
504167	2125897	2.009876933
504267	2125897	2.01203399
504367	2125897	2.014219468
504467	2125897	2.016433343
504567	2125897	2.018675594
504667	2125897	2.020946198
504767	2125897	2.02324513
504867	2125897	2.025572367
504967	2125897	2.027927883
505067	2125897	2.030311653
505167	2125897	2.032723649
505267	2125897	2.035163843
505367	2125897	2.037632207
505467	2125897	2.040128711
505567	2125897	2.042653322
505667	2125897	2.04520601
505767	2125897	2.047786739
505867	2125897	2.050395473
505967	2125897	2.053032177
506067	2125897	2.055696811
506167	2125897	2.058389334
501267	2125997	1.95258089
501367	2125997	1.953908823
501467	2125997	1.955265966
501567	2125997	1.956652282
501667	2125997	1.958067736
501767	2125997	1.959512293
501867	2125997	1.960985921
501967	2125997	1.962488587
502067	2125997	1.96402026
502167	2125997	1.96558091
502267	2125997	1.967170509
502367	2125997	1.968789028
502467	2125997	1.97043644
502567	2125997	1.972112719
502667	2125997	1.97381784
502767	2125997	1.975551778
502867	2125997	1.97731451
502967	2125997	1.979106011
503067	2125997	1.98092626
503167	2125997	1.982775235
503267	2125997	1.984652915
503367	2125997	1.986559277
503467	2125997	1.988494302
503567	2125997	1.99045797
503667	2125997	1.99245026
503767	2125997	1.994471152
503867	2125997	1.996520627
503967	2125997	1.998598665
504067	2125997	2.000705246
504167	2125997	2.00284035
504267	2125997	2.005003959
504367	2125997	2.00719605
504467	2125997	2.009416603
504567	2125997	2.011665598
504667	2125997	2.013943013
504767	2125997	2.016248826
504867	2125997	2.018583013
504967	2125997	2.020945552
505067	2125997	2.023336417
505167	2125997	2.025755584
505267	2125997	2.028203027
505367	2125997	2.030678716
505467	2125997	2.033182625
505567	2125997	2.035714723
505667	2125997	2.038274978
505767	2125997	2.040863359
505867	2125997	2.043479831
505967	2125997	2.046124357
506067	2125997	2.048796901
501267	2126097	1.945384355
501367	2126097	1.946717578
501467	2126097	1.948080041
501567	2126097	1.949471708
501667	2126097	1.950892543
501767	2126097	1.952342514
501867	2126097	1.953821587
501967	2126097	1.955329731
502067	2126097	1.956866916
502167	2126097	1.958433112
502267	2126097	1.960028293
502367	2126097	1.96165243
502467	2126097	1.963305498
502567	2126097	1.964987471
502667	2126097	1.966698325
502767	2126097	1.968438037
502867	2126097	1.970206583
502967	2126097	1.972003943
503067	2126097	1.973830095
503167	2126097	1.975685017
503267	2126097	1.977568691
503367	2126097	1.979481095
503467	2126097	1.981422212
503567	2126097	1.983392021
503667	2126097	1.985390505
503767	2126097	1.987417645
503867	2126097	1.989473423
503967	2126097	1.99155782
504067	2126097	1.993670819
504167	2126097	1.995812401
504267	2126097	1.997982547
504367	2126097	2.00018124
504467	2126097	2.002408459
504567	2126097	2.004664185
504667	2126097	2.006948399
504767	2126097	2.00926108
504867	2126097	2.011602206
504967	2126097	2.013971756
505067	2126097	2.016369707
505167	2126097	2.018796034
505267	2126097	2.021250714
505367	2126097	2.02373372
505467	2126097	2.026245025
505567	2126097	2.028784601
505667	2126097	2.031352417
505767	2126097	2.033948443
505867	2126097	2.036572646
505967	2126097	2.039224991
506067	2126097	2.041905442
501167	2126197	1.93688749
501267	2126197	1.938196708
501367	2126197	1.939535231
501467	2126197	1.940903022
501567	2126197	1.942300046
501667	2126197	1.943726269
501767	2126197	1.945181656
501867	2126197	1.946666177
501967	2126197	1.948179802
502067	2126197	1.949722499
502167	2126197	1.951294242
502267	2126197	1.952895003
502367	2126197	1.954524756
502467	2126197	1.956183476
502567	2126197	1.957871138
502667	2126197	1.95958772
502767	2126197	1.9613332
502867	2126197	1.963107555
502967	2126197	1.964910765
503067	2126197	1.966742811
503167	2126197	1.968603671
503267	2126197	1.970493329
503367	2126197	1.972411765
503467	2126197	1.974358962
503567	2126197	1.976334902
503667	2126197	1.978339568
503767	2126197	1.980372943
503867	2126197	1.98243501
503967	2126197	1.984525754
504067	2126197	1.986645157
504167	2126197	1.988793202
504267	2126197	1.990969873
504367	2126197	1.993175152
504467	2126197	1.995409023
504567	2126197	1.997671467
504667	2126197	1.999962466
504767	2126197	2.002282002
504867	2126197	2.004630054
504967	2126197	2.007006602
505067	2126197	2.009411625
505167	2126197	2.011845102
505267	2126197	2.014307008
505367	2126197	2.016797319
505467	2126197	2.01931601
505567	2126197	2.021863054
505667	2126197	2.024438423
505767	2126197	2.027042087
505867	2126197	2.029674014
505967	2126197	2.032334172
506067	2126197	2.035022526
501067	2126297	1.928418471
501167	2126297	1.9297036
501267	2126297	1.931018099
501367	2126297	1.93236193
501467	2126297	1.933735057
501567	2126297	1.935137444
501667	2126297	1.936569058
501767	2126297	1.938029867
501867	2126297	1.939519839
501967	2126297	1.941038944
502067	2126297	1.942587154
502167	2126297	1.944164442
502267	2126297	1.945770781
502367	2126297	1.947406147
502467	2126297	1.949070515
502567	2126297	1.950763862
502667	2126297	1.952486165
502767	2126297	1.954237405
