x	y	abat_2002_1997
504667	2123497	5.659539735
504767	2123497	5.574387327
504867	2123497	5.429336677
504967	2123497	5.228723209
504067	2123597	5.185389937
504167	2123597	5.434679197
504267	2123597	5.630454825
504367	2123597	5.778271336
504467	2123597	5.878614774
504567	2123597	5.926966293
504667	2123597	5.914684976
504767	2123597	5.832032836
504867	2123597	5.673938741
504967	2123597	5.445154683
505067	2123597	5.159774041
505167	2123597	4.836086771
505267	2123597	4.492220456
503867	2123697	4.656208128
503967	2123697	5.053297331
504067	2123697	5.363997206
504167	2123697	5.610997641
504267	2123697	5.810270842
504367	2123697	5.969577806
504467	2123697	6.089217285
504567	2123697	6.161919454
504667	2123697	6.172213564
504767	2123697	6.099151463
504867	2123697	5.928024508
504967	2123697	5.66462419
505067	2123697	5.333044706
505167	2123697	4.960934206
505267	2123697	4.571030606
505367	2123697	4.181264736
505467	2123697	3.807830188
505567	2123697	3.46845565
503867	2123797	4.839648453
503967	2123797	5.227572053
504067	2123797	5.519373137
504167	2123797	5.754131216
504267	2123797	5.952524591
504367	2123797	6.122996997
504467	2123797	6.265842533
504567	2123797	6.372744469
504667	2123797	6.421914051
504767	2123797	6.373469374
504867	2123797	6.18901051
504967	2123797	5.878035789
505067	2123797	5.488713666
505167	2123797	5.062768884
505267	2123797	4.625436246
505367	2123797	4.192706965
505467	2123797	3.777939678
505567	2123797	3.397095182
505667	2123797	3.074801093
505767	2123797	2.848946712
503767	2123897	4.480483232
503867	2123897	5.027809304
503967	2123897	5.36985551
504067	2123897	5.622652125
504167	2123897	5.838277878
504267	2123897	6.033703089
504367	2123897	6.214675718
504467	2123897	6.381879749
504567	2123897	6.530304858
504667	2123897	6.640733748
504767	2123897	6.65073902
504867	2123897	6.449485441
504967	2123897	6.0626716
505067	2123897	5.60373778
505167	2123897	5.125243479
505267	2123897	4.646647204
505367	2123897	4.177750223
505467	2123897	3.726315124
505567	2123897	3.302380444
505667	2123897	2.926421563
505767	2123897	2.653314183
505867	2123897	2.576669951
505967	2123897	2.678617062
506067	2123897	2.869542751
506167	2123897	3.10898885
506267	2123897	3.383158439
506367	2123897	3.685729392
506467	2123897	4.010981606
506567	2123897	4.348157255
506667	2123897	4.667987366
506767	2123897	4.882225649
503667	2123997	3.698893828
503767	2123997	4.64281609
503867	2123997	5.17513488
503967	2123997	5.416847523
504067	2123997	5.631366141
504167	2123997	5.835115214
504267	2123997	6.031209422
504367	2123997	6.221304957
504467	2123997	6.406700168
504567	2123997	6.588131598
504667	2123997	6.763794768
504767	2123997	6.905973809
504867	2123997	6.665055254
504967	2123997	6.159266215
505067	2123997	5.641145252
505167	2123997	5.128502309
505267	2123997	4.626130654
505367	2123997	4.13724695
505467	2123997	3.664822443
505567	2123997	3.212106614
505667	2123997	2.784236776
505767	2123997	2.407152468
505867	2123997	2.368039023
505967	2123997	2.573601778
506067	2123997	2.821134255
506167	2123997	3.098489693
506267	2123997	3.404030167
506367	2123997	3.737372347
506467	2123997	4.098201523
506567	2123997	4.485424323
506667	2123997	4.894199818
506767	2123997	5.283874576
503567	2124097	2.493432318
503667	2124097	3.493225424
503767	2124097	4.430059809
503867	2124097	4.993381064
503967	2124097	5.273513129
504067	2124097	5.508214477
504167	2124097	5.725531288
504267	2124097	5.931372197
504367	2124097	6.128438189
504467	2124097	6.318324285
504567	2124097	6.501215828
504667	2124097	6.672364138
504767	2124097	6.788708364
504867	2124097	6.560478422
504967	2124097	6.0769791
505067	2124097	5.566449701
505167	2124097	5.057685957
505267	2124097	4.558141358
505367	2124097	4.072204772
505467	2124097	3.603704759
505567	2124097	3.156976159
505667	2124097	2.739890759
505767	2124097	2.390996743
505867	2124097	2.348855188
505967	2124097	2.543578396
506067	2124097	2.792028533
506167	2124097	3.072866012
506267	2124097	3.381910894
506367	2124097	3.717297424
506467	2124097	4.077270693
506567	2124097	4.458684892
506667	2124097	4.85178652
506767	2124097	5.194479256
503467	2124197	1.165454881
503567	2124197	2.162020136
503667	2124197	3.110237424
503767	2124197	3.939871024
503867	2124197	4.549150889
503967	2124197	4.955837414
504067	2124197	5.259317368
504167	2124197	5.512640495
504267	2124197	5.736109732
504367	2124197	5.937687864
504467	2124197	6.119037512
504567	2124197	6.27482396
504667	2124197	6.384410668
504767	2124197	6.388406542
504867	2124197	6.195977074
504967	2124197	5.828317687
505067	2124197	5.383075056
505167	2124197	4.913532751
505267	2124197	4.44220066
505367	2124197	3.981261107
505467	2124197	3.540438758
505567	2124197	3.131735253
505667	2124197	2.777689579
505767	2124197	2.531055713
505867	2124197	2.469157621
505967	2124197	2.577486246
506067	2124197	2.778746486
506167	2124197	3.031125795
506267	2124197	3.317257201
506367	2124197	3.627385493
506467	2124197	3.952215262
506567	2124197	4.276858218
506667	2124197	4.567489861
503367	2124297	-0.196975509
503467	2124297	0.805417255
