x	y	tasa_hundim
502867	2124797	-0.0608851
502967	2124797	-0.0579229
503067	2124797	-0.0829274
503167	2124797	-0.0882938
503267	2124797	-0.0960533
503367	2124797	-0.1013292
503467	2124797	-0.0810828
503567	2124797	-0.0949981
503667	2124797	-0.1128194
503767	2124797	-0.1349505
503867	2124797	-0.1331537
503967	2124797	-0.1439247
504067	2124797	-0.136541
504167	2124797	-0.1258779
504267	2124797	-0.1342622
504367	2124797	-0.1285778
504467	2124797	-0.1204875
504567	2124797	-0.1275808
504667	2124797	-0.1447387
504767	2124797	-0.1401283
504867	2124797	-0.1462707
504967	2124797	-0.1635417
505067	2124797	-0.1952614
505167	2124797	-0.1888658
505267	2124797	-0.1735176
505367	2124797	-0.1778168
505467	2124797	
505567	2124797	-0.1907443
505667	2124797	-0.2467934
505767	2124797	-0.2563362
505867	2124797	-0.2560801
505967	2124797	-0.2653243
506067	2124797	-0.241128
506167	2124797	-0.2257977
506267	2124797	-0.2183428
506367	2124797	-0.2060219
506467	2124797	-0.1993423
502267	2124897	-0.1378945
502367	2124897	-0.1217723
502467	2124897	-0.1337498
502567	2124897	-0.1059974
502667	2124897	-0.0893496
502767	2124897	-0.0830417
502867	2124897	-0.0752215
502967	2124897	-0.0633988
503067	2124897	-0.0886419
503167	2124897	-0.0916011
503267	2124897	-0.1157187
503367	2124897	-0.10852
503467	2124897	-0.1145432
503567	2124897	-0.0990241
503667	2124897	-0.1181396
503767	2124897	-0.117602
503867	2124897	-0.1442105
503967	2124897	-0.1670632
504067	2124897	-0.1605384
504167	2124897	-0.1450042
504267	2124897	-0.1432722
504367	2124897	-0.1391377
504467	2124897	-0.1305812
504567	2124897	-0.1390651
504667	2124897	-0.1663072
504767	2124897	-0.1683719
504867	2124897	-0.1707329
504967	2124897	-0.1786467
505067	2124897	-0.2100419
505167	2124897	-0.2080995
505267	2124897	-0.1969523
505367	2124897	-0.1806512
505467	2124897	
505567	2124897	-0.2171876
505667	2124897	-0.2436704
505767	2124897	-0.2603956
505867	2124897	-0.2446192
505967	2124897	-0.2537743
506067	2124897	-0.2330773
506167	2124897	-0.2236996
506267	2124897	-0.21502
506367	2124897	-0.2195432
502167	2124997	-0.1462784
502267	2124997	-0.134431
502367	2124997	-0.1602107
502467	2124997	-0.1605066
502567	2124997	-0.1376259
502667	2124997	-0.1331118
502767	2124997	-0.1045457
502867	2124997	-0.0926028
502967	2124997	-0.0842452
503067	2124997	-0.096813
503167	2124997	-0.1169463
503267	2124997	-0.1257693
503367	2124997	-0.1385646
503467	2124997	-0.1353179
503567	2124997	-0.1483546
503667	2124997	-0.1505495
503767	2124997	-0.1529402
503867	2124997	-0.1673243
503967	2124997	-0.1712685
504067	2124997	-0.1747011
504167	2124997	-0.1898535
504267	2124997	-0.1813796
504367	2124997	-0.1791572
504467	2124997	-0.1581573
504567	2124997	-0.1908659
504667	2124997	-0.1904255
504767	2124997	-0.1956999
504867	2124997	-0.1994578
504967	2124997	-0.2010384
505067	2124997	-0.2336364
505167	2124997	-0.2104643
505267	2124997	-0.215173
505367	2124997	-0.2080695
505467	2124997	-0.2098123
505567	2124997	-0.2441303
505667	2124997	-0.2503504
505767	2124997	-0.2603583
505867	2124997	-0.2339666
505967	2124997	-0.2300764
506067	2124997	-0.2090629
506167	2124997	-0.204288
506267	2124997	-0.213815
506367	2124997	-0.2041583
502067	2125097	-0.1413732
502167	2125097	-0.1488096
502267	2125097	-0.135476
502367	2125097	-0.1557042
502467	2125097	-0.157107
502567	2125097	-0.1535684
502667	2125097	-0.1329831
502767	2125097	-0.1288147
502867	2125097	-0.1131503
502967	2125097	-0.0986804
503067	2125097	-0.1223497
503167	2125097	-0.125788
503267	2125097	-0.1352041
503367	2125097	-0.1617015
503467	2125097	-0.1501084
503567	2125097	-0.1595291
503667	2125097	-0.1646974
503767	2125097	-0.157911
503867	2125097	-0.1589266
503967	2125097	-0.1684531
504067	2125097	-0.176777
504167	2125097	-0.1847649
504267	2125097	-0.188611
504367	2125097	-0.1861224
504467	2125097	-0.1936617
504567	2125097	-0.1974793
504667	2125097	-0.1859325
504767	2125097	-0.1831224
504867	2125097	-0.2099782
504967	2125097	-0.2081789
505067	2125097	-0.224078
505167	2125097	-0.2150222
505267	2125097	-0.2269732
505367	2125097	-0.2130093
505467	2125097	-0.2157377
505567	2125097	-0.2355831
505667	2125097	-0.2393301
505767	2125097	-0.2574948
505867	2125097	-0.2606343
505967	2125097	-0.2356752
506067	2125097	-0.1917963
506167	2125097	-0.1903004
506267	2125097	-0.1956341
506367	2125097	-0.1887938
501967	2125197	-0.189646
502067	2125197	-0.1634939
502167	2125197	-0.1701905
502267	2125197	-0.1651322
502367	2125197	-0.1587291
502467	2125197	-0.1632954
502567	2125197	-0.1594678
502667	2125197	-0.1507738
502767	2125197	-0.1370974
502867	2125197	-0.1312426
502967	2125197	-0.1127796
503067	2125197	-0.1517222
503167	2125197	-0.1595466
503267	2125197	-0.1575915
503367	2125197	-0.1664166
503467	2125197	-0.1707178
503567	2125197	-0.1577954
503667	2125197	-0.1543491
503767	2125197	-0.1464882
503867	2125197	-0.1556552
503967	2125197	-0.1597679
504067	2125197	-0.1611142
504167	2125197	-0.1789823
504267	2125197	-0.1834981
504367	2125197	-0.1879302
504467	2125197	-0.186942
504567	2125197	-0.1936363
504667	2125197	-0.1843399
504767	2125197	-0.1868564
504867	2125197	-0.1879817
504967	2125197	-0.2067461
505067	2125197	-0.2121951
505167	2125197	-0.2047715
505267	2125197	-0.2238579
505367	2125197	-0.2311578
505467	2125197	-0.2356565
505567	2125197	-0.240712
505667	2125197	-0.2500316
505767	2125197	-0.2556492
505867	2125197	-0.2383933
505967	2125197	-0.2151449
506067	2125197	-0.1660835
506167	2125197	-0.1680683
506267	2125197	-0.1728034
501867	2125297	-0.2100795
501967	2125297	-0.1980522
502067	2125297	-0.1599684
502167	2125297	-0.1663853
502267	2125297	-0.1609943
502367	2125297	-0.1622247
502467	2125297	-0.1557305
502567	2125297	-0.1584158
502667	2125297	-0.1439991
502767	2125297	-0.1381311
502867	2125297	-0.1402403
502967	2125297	-0.1428847
503067	2125297	-0.1671404
503167	2125297	-0.1724299
503267	2125297	-0.1732482
503367	2125297	-0.184094
503467	2125297	-0.1657724
503567	2125297	-0.1533356
503667	2125297	-0.140762
503767	2125297	-0.1348718
503867	2125297	-0.1637311
503967	2125297	-0.1530811
504067	2125297	-0.1643641
504167	2125297	-0.1799881
504267	2125297	-0.1797267
504367	2125297	-0.1839131
504467	2125297	-0.1835469
504567	2125297	-0.1913549
504667	2125297	-0.1797996
504767	2125297	-0.1746469
504867	2125297	-0.1934375
504967	2125297	-0.2069222
505067	2125297	-0.2050159
505167	2125297	-0.2103533
505267	2125297	-0.2406212
505367	2125297	-0.2367868
505467	2125297	-0.2474171
505567	2125297	-0.2451959
505667	2125297	-0.2442865
505767	2125297	-0.257624
505867	2125297	-0.2353709
505967	2125297	-0.1991496
506067	2125297	-0.1578906
506167	2125297	-0.1600918
506267	2125297	-0.1444331
501767	2125397	-0.2167989
501867	2125397	-0.2342363
501967	2125397	-0.2346092
502067	2125397	-0.1852224
502167	2125397	-0.1772428
502267	2125397	-0.1303095
502367	2125397	-0.1467849
502467	2125397	-0.1639344
502567	2125397	-0.1666988
502667	2125397	-0.1661131
502767	2125397	-0.1684692
502867	2125397	-0.1840761
502967	2125397	-0.1834778
503067	2125397	-0.1892814
503167	2125397	-0.1811595
503267	2125397	-0.1823455
503367	2125397	-0.1845284
503467	2125397	-0.1789618
503567	2125397	-0.1417759
503667	2125397	-0.13525
503767	2125397	-0.1267365
503867	2125397	-0.1363089
503967	2125397	-0.1598804
504067	2125397	-0.1631158
504167	2125397	-0.1647291
504267	2125397	-0.1746706
504367	2125397	-0.184917
504467	2125397	-0.1903527
504567	2125397	-0.2006464
504667	2125397	-0.1982604
504767	2125397	-0.1905765
504867	2125397	-0.1966047
504967	2125397	-0.2105853
505067	2125397	-0.2124601
505167	2125397	-0.2298535
505267	2125397	-0.2254701
505367	2125397	-0.2274247
505467	2125397	-0.2371411
505567	2125397	-0.2419363
505667	2125397	-0.2435106
505767	2125397	-0.2444869
505867	2125397	-0.2140708
505967	2125397	-0.1451821
506067	2125397	-0.1380954
506167	2125397	-0.1391656
506267	2125397	-0.1055257
501667	2125497	-0.1771227
501767	2125497	-0.2061413
501867	2125497	-0.2182637
501967	2125497	-0.2182597
502067	2125497	-0.1869746
502167	2125497	-0.1717466
502267	2125497	-0.1232127
502367	2125497	-0.133329
502467	2125497	-0.1595851
502567	2125497	-0.171075
502667	2125497	-0.1689197
502767	2125497	-0.1704236
502867	2125497	-0.1798198
502967	2125497	-0.1825339
503067	2125497	-0.1926707
503167	2125497	-0.1884264
503267	2125497	-0.186874
503367	2125497	-0.198439
503467	2125497	-0.1722222
503567	2125497	-0.1452643
503667	2125497	-0.1322363
503767	2125497	-0.123686
503867	2125497	-0.1311666
503967	2125497	-0.1361347
504067	2125497	-0.1582484
504167	2125497	-0.1585886
504267	2125497	-0.1685503
504367	2125497	-0.189292
504467	2125497	-0.1883859
504567	2125497	-0.1928136
504667	2125497	-0.1919619
504767	2125497	-0.1944756
504867	2125497	-0.2019514
504967	2125497	-0.2086876
505067	2125497	-0.1977025
505167	2125497	-0.2013269
505267	2125497	-0.2179614
505367	2125497	-0.2192596
505467	2125497	-0.2215176
505567	2125497	-0.2355656
505667	2125497	-0.2352188
505767	2125497	-0.2216904
505867	2125497	-0.1935391
505967	2125497	-0.1534818
506067	2125497	-0.1205521
506167	2125497	-0.1223019
501567	2125597	-0.1935305
501667	2125597	-0.1842714
501767	2125597	-0.2079389
501867	2125597	-0.2118864
501967	2125597	-0.2133544
502067	2125597	-0.1764923
502167	2125597	-0.1690367
502267	2125597	-0.1359927
502367	2125597	-0.1334545
502467	2125597	-0.1541115
502567	2125597	-0.1702536
502667	2125597	-0.172001
502767	2125597	-0.1807064
502867	2125597	-0.1816806
502967	2125597	-0.1929048
503067	2125597	-0.1956508
503167	2125597	-0.1874336
503267	2125597	-0.1897988
503367	2125597	-0.1906869
503467	2125597	-0.1626161
503567	2125597	-0.1422939
503667	2125597	-0.1308988
503767	2125597	-0.1223644
503867	2125597	-0.1256691
503967	2125597	-0.1290768
504067	2125597	-0.1370766
504167	2125597	-0.1600339
504267	2125597	-0.167029
504367	2125597	-0.1899778
504467	2125597	-0.1903339
504567	2125597	-0.1989608
504667	2125597	-0.1919613
504767	2125597	-0.1939923
504867	2125597	-0.1946735
504967	2125597	-0.2049507
505067	2125597	-0.1914027
505167	2125597	-0.1969174
505267	2125597	-0.2148459
505367	2125597	-0.216213
505467	2125597	-0.2287343
505567	2125597	-0.2277283
505667	2125597	-0.2117713
505767	2125597	-0.1922535
505867	2125597	-0.1367598
505967	2125597	-0.1420372
506067	2125597	-0.1071936
506167	2125597	-0.1091245
501467	2125697	-0.126701
501567	2125697	-0.1854584
501667	2125697	-0.1609106
501767	2125697	-0.1856474
501867	2125697	-0.1973207
501967	2125697	-0.1782399
502067	2125697	-0.1567931
502167	2125697	-0.1596082
502267	2125697	-0.1597809
502367	2125697	-0.1677202
502467	2125697	-0.1701786
502567	2125697	-0.1766293
502667	2125697	-0.1731798
502767	2125697	-0.200022
502867	2125697	-0.2087512
502967	2125697	-0.2148805
503067	2125697	-0.2121328
503167	2125697	-0.2114862
503267	2125697	-0.20052
503367	2125697	-0.194646
503467	2125697	-0.1827934
503567	2125697	-0.1393522
503667	2125697	-0.1211329
503767	2125697	-0.1184447
503867	2125697	-0.1229455
503967	2125697	-0.1296201
504067	2125697	-0.1467199
504167	2125697	-0.1561308
504267	2125697	-0.1982386
504367	2125697	-0.2060155
504467	2125697	-0.1984896
504567	2125697	-0.2056974
504667	2125697	-0.211004
504767	2125697	-0.2091964
504867	2125697	-0.2023543
504967	2125697	-0.1986562
505067	2125697	-0.1873602
505167	2125697	-0.1875587
505267	2125697	-0.2033448
505367	2125697	-0.2156807
505467	2125697	-0.2412305
505567	2125697	-0.2112835
505667	2125697	-0.195822
505767	2125697	-0.1607927
505867	2125697	-0.108615
505967	2125697	-0.1181737
506067	2125697	-0.1187228
506167	2125697	-0.115223
501367	2125797	-0.1019246
501467	2125797	-0.1161488
501567	2125797	-0.1495248
501667	2125797	-0.1646675
501767	2125797	-0.1738746
501867	2125797	-0.1845335
501967	2125797	-0.1785366
502067	2125797	-0.1657141
502167	2125797	-0.1539579
502267	2125797	-0.1597105
502367	2125797	-0.1811618
502467	2125797	-0.1703258
502567	2125797	-0.1753769
502667	2125797	-0.1738255
502767	2125797	-0.1763462
502867	2125797	-0.2170161
502967	2125797	-0.2086478
503067	2125797	-0.213949
503167	2125797	-0.2170961
503267	2125797	-0.2082937
503367	2125797	-0.2034878
503467	2125797	-0.2009216
503567	2125797	-0.1530806
503667	2125797	-0.1382593
503767	2125797	-0.1273894
503867	2125797	-0.1247711
503967	2125797	-0.1491847
504067	2125797	-0.1614074
504167	2125797	-0.1811954
504267	2125797	-0.1933991
504367	2125797	-0.208862
504467	2125797	-0.2131115
504567	2125797	-0.2103488
504667	2125797	-0.2099164
504767	2125797	-0.2030199
504867	2125797	-0.2008533
504967	2125797	-0.1975789
505067	2125797	-0.1843757
505167	2125797	-0.1918694
505267	2125797	-0.2114122
505367	2125797	-0.2197767
505467	2125797	-0.2266591
505567	2125797	-0.201505
505667	2125797	-0.1933983
505767	2125797	-0.1429636
505867	2125797	-0.1281888
505967	2125797	-0.1040164
506067	2125797	-0.1146101
506167	2125797	-0.1262648
501367	2125897	-0.0885566
501467	2125897	-0.1042117
501567	2125897	-0.1329937
501667	2125897	-0.177346
501767	2125897	-0.16452
501867	2125897	-0.1724424
501967	2125897	-0.1847922
502067	2125897	-0.1670267
502167	2125897	-0.1757491
502267	2125897	-0.1766992
502367	2125897	-0.1840336
502467	2125897	-0.1913146
502567	2125897	-0.156826
502667	2125897	-0.1629451
502767	2125897	-0.167134
502867	2125897	-0.176073
502967	2125897	-0.2143893
503067	2125897	-0.2111081
503167	2125897	-0.2107748
503267	2125897	-0.2192224
503367	2125897	-0.2071042
503467	2125897	-0.2080625
503567	2125897	-0.1786005
503667	2125897	-0.1514082
503767	2125897	-0.1323877
503867	2125897	-0.1493893
503967	2125897	-0.1529456
504067	2125897	-0.1751019
504167	2125897	-0.1832043
504267	2125897	-0.1984317
504367	2125897	-0.2038651
504467	2125897	-0.2198954
504567	2125897	-0.2265552
504667	2125897	-0.217756
504767	2125897	-0.2205359
504867	2125897	-0.2076727
504967	2125897	-0.2126449
505067	2125897	-0.2001939
505167	2125897	-0.1965007
505267	2125897	-0.2038103
505367	2125897	-0.2184341
505467	2125897	-0.224878
505567	2125897	-0.2067606
505667	2125897	-0.1464931
505767	2125897	-0.144026
505867	2125897	-0.1406019
505967	2125897	-0.1163721
506067	2125897	-0.1199116
506167	2125897	-0.1364375
501267	2125997	-0.0688367
501367	2125997	-0.0610285
501467	2125997	-0.0974205
501567	2125997	-0.1292623
501667	2125997	-0.1746771
501767	2125997	-0.1642116
501867	2125997	-0.1657138
501967	2125997	-0.1830547
502067	2125997	-0.1814168
502167	2125997	-0.1928324
502267	2125997	-0.170816
502367	2125997	-0.1799512
502467	2125997	-0.1944081
502567	2125997	-0.2029513
502667	2125997	-0.1822948
502767	2125997	-0.1780307
502867	2125997	-0.1893906
502967	2125997	-0.2053311
503067	2125997	-0.2068915
503167	2125997	-0.2105068
503267	2125997	-0.2113756
503367	2125997	-0.2154821
503467	2125997	-0.2082709
503567	2125997	-0.1886382
503667	2125997	-0.1753364
503767	2125997	-0.1662761
503867	2125997	-0.1615374
503967	2125997	-0.1642255
504067	2125997	-0.1812818
504167	2125997	-0.1991639
504267	2125997	-0.2018522
504367	2125997	-0.2027162
504467	2125997	-0.2132853
504567	2125997	-0.2444667
504667	2125997	-0.2262074
504767	2125997	-0.2282214
504867	2125997	-0.2143265
504967	2125997	-0.2101207
505067	2125997	-0.2118906
505167	2125997	-0.2121583
505267	2125997	-0.1886883
505367	2125997	-0.2198098
505467	2125997	-0.223532
505567	2125997	-0.1989271
505667	2125997	-0.1426151
505767	2125997	-0.1432044
505867	2125997	-0.1393192
505967	2125997	-0.13084
506067	2125997	-0.1305607
501267	2126097	-0.0613285
501367	2126097	-0.0661872
501467	2126097	-0.0641728
501567	2126097	-0.1176101
501667	2126097	-0.1620145
501767	2126097	-0.1592238
501867	2126097	-0.1354505
501967	2126097	-0.1627824
502067	2126097	-0.2148703
502167	2126097	-0.2252942
502267	2126097	-0.2254744
502367	2126097	-0.1917493
502467	2126097	-0.1934486
502567	2126097	-0.1944911
502667	2126097	-0.1987806
502767	2126097	-0.2000284
502867	2126097	-0.2042247
502967	2126097	-0.2188336
503067	2126097	-0.2291003
503167	2126097	-0.2225043
503267	2126097	-0.2183064
503367	2126097	-0.2167931
503467	2126097	-0.2094115
503567	2126097	-0.1879854
503667	2126097	-0.1800794
503767	2126097	-0.180466
503867	2126097	-0.1868992
503967	2126097	-0.191129
504067	2126097	-0.2001605
504167	2126097	-0.2069652
504267	2126097	-0.2121963
504367	2126097	-0.2182082
504467	2126097	-0.233849
504567	2126097	-0.2401287
504667	2126097	-0.2471
504767	2126097	-0.2467704
504867	2126097	-0.2193793
504967	2126097	-0.2215106
505067	2126097	-0.2252244
505167	2126097	-0.2221119
505267	2126097	-0.1904117
505367	2126097	-0.1921103
505467	2126097	-0.2047552
505567	2126097	-0.1916597
505667	2126097	-0.1495691
505767	2126097	-0.1399639
505867	2126097	-0.1293232
