x	y	error_car_pre_dur
501867	2125297	1.469654547
501967	2125297	1.47200388
502067	2125297	1.474364479
502167	2125297	1.476736277
502267	2125297	1.479119209
502367	2125297	1.48151321
502467	2125297	1.483918216
502567	2125297	1.486334163
502667	2125297	1.488760988
502767	2125297	1.491198627
502867	2125297	1.493647018
502967	2125297	1.496106098
503067	2125297	1.498575805
503167	2125297	1.501056079
503267	2125297	1.503546858
503367	2125297	1.506048081
503467	2125297	1.508559688
503567	2125297	1.51108162
503667	2125297	1.513613817
503767	2125297	1.51615622
503867	2125297	1.51870877
503967	2125297	1.521271409
504067	2125297	1.523844079
504167	2125297	1.526426724
504267	2125297	1.529019286
504367	2125297	1.531621708
504467	2125297	1.534233934
504567	2125297	1.536855908
504667	2125297	1.539487575
504767	2125297	1.54212888
504867	2125297	1.544779768
504967	2125297	1.547440184
505067	2125297	1.550110076
505167	2125297	1.552789388
505267	2125297	1.555478069
505367	2125297	1.558176065
505467	2125297	1.560883323
505567	2125297	1.563599792
505667	2125297	1.566325421
505767	2125297	1.569060156
505867	2125297	1.571803949
505967	2125297	1.574556747
506067	2125297	1.5773185
506167	2125297	1.58008916
506267	2125297	1.582868675
501767	2125397	1.46335282
501867	2125397	1.46569782
501967	2125397	1.468054146
502067	2125397	1.470421732
502167	2125397	1.472800514
502267	2125397	1.475190424
502367	2125397	1.477591399
502467	2125397	1.480003374
502567	2125397	1.482426283
502667	2125397	1.484860064
502767	2125397	1.487304653
502867	2125397	1.489759987
502967	2125397	1.492226004
503067	2125397	1.494702642
503167	2125397	1.497189838
503267	2125397	1.499687532
503367	2125397	1.502195663
503467	2125397	1.504714171
503567	2125397	1.507242994
503667	2125397	1.509782074
503767	2125397	1.512331352
503867	2125397	1.514890769
503967	2125397	1.517460266
504067	2125397	1.520039785
504167	2125397	1.52262927
504267	2125397	1.525228662
504367	2125397	1.527837904
504467	2125397	1.530456942
504567	2125397	1.533085717
504667	2125397	1.535724176
504767	2125397	1.538372263
504867	2125397	1.541029922
504967	2125397	1.543697099
505067	2125397	1.546373741
505167	2125397	1.549059794
505267	2125397	1.551755204
505367	2125397	1.554459918
505467	2125397	1.557173884
505567	2125397	1.55989705
505667	2125397	1.562629363
505767	2125397	1.565370773
505867	2125397	1.568121228
505967	2125397	1.570880677
506067	2125397	1.573649071
506167	2125397	1.576426358
506267	2125397	1.57921249
501667	2125497	1.45705453
501767	2125497	1.459395163
501867	2125497	1.461747185
501967	2125497	1.464110529
502067	2125497	1.46648513
502167	2125497	1.46887092
502267	2125497	1.471267834
502367	2125497	1.473675806
502467	2125497	1.476094773
502567	2125497	1.478524668
502667	2125497	1.480965429
502767	2125497	1.483416991
502867	2125497	1.485879292
502967	2125497	1.488352268
503067	2125497	1.490835857
503167	2125497	1.493329998
503267	2125497	1.495834629
503367	2125497	1.498349688
503467	2125497	1.500875116
503567	2125497	1.503410852
503667	2125497	1.505956836
503767	2125497	1.508513009
503867	2125497	1.511079311
503967	2125497	1.513655685
504067	2125497	1.516242072
504167	2125497	1.518838415
504267	2125497	1.521444655
504367	2125497	1.524060737
504467	2125497	1.526686603
504567	2125497	1.529322197
504667	2125497	1.531967465
504767	2125497	1.534622349
504867	2125497	1.537286796
504967	2125497	1.539960751
505067	2125497	1.542644159
505167	2125497	1.545336967
505267	2125497	1.548039122
505367	2125497	1.55075057
505467	2125497	1.553471258
505567	2125497	1.556201135
505667	2125497	1.558940148
505767	2125497	1.561688245
505867	2125497	1.564445377
505967	2125497	1.567211491
506067	2125497	1.569986537
506167	2125497	1.572770466
501567	2125597	1.450759712
501667	2125597	1.453095944
501767	2125597	1.455443629
501867	2125597	1.4578027
501967	2125597	1.460173089
502067	2125597	1.462554728
502167	2125597	1.464947552
502267	2125597	1.467351494
502367	2125597	1.469766489
502467	2125597	1.472192472
502567	2125597	1.474629377
502667	2125597	1.47707714
502767	2125597	1.479535698
502867	2125597	1.482004988
502967	2125597	1.484484945
503067	2125597	1.486975508
503167	2125597	1.489476615
503267	2125597	1.491988204
503367	2125597	1.494510213
503467	2125597	1.497042582
503567	2125597	1.49958525
503667	2125597	1.502138157
503767	2125597	1.504701244
503867	2125597	1.507274452
503967	2125597	1.509857722
504067	2125597	1.512450995
504167	2125597	1.515054214
504267	2125597	1.517667321
504367	2125597	1.520290259
504467	2125597	1.522922971
504567	2125597	1.525565402
504667	2125597	1.528217495
504767	2125597	1.530879194
504867	2125597	1.533550445
504967	2125597	1.536231193
505067	2125597	1.538921383
505167	2125597	1.541620962
505267	2125597	1.544329876
505367	2125597	1.547048072
505467	2125597	1.549775498
505567	2125597	1.5525121
505667	2125597	1.555257826
505767	2125597	1.558012626
505867	2125597	1.560776447
505967	2125597	1.56354924
506067	2125597	1.566330952
506167	2125597	1.569121534
501467	2125697	1.444468399
501567	2125697	1.446800198
501667	2125697	1.449143515
501767	2125697	1.45149828
501867	2125697	1.453864426
501967	2125697	1.456241884
502067	2125697	1.458630588
502167	2125697	1.46103047
502267	2125697	1.463441465
502367	2125697	1.465863506
502467	2125697	1.468296528
502567	2125697	1.470740466
502667	2125697	1.473195256
502767	2125697	1.475660833
502867	2125697	1.478137133
502967	2125697	1.480624094
503067	2125697	1.483121653
503167	2125697	1.485629747
503267	2125697	1.488148314
503367	2125697	1.490677293
503467	2125697	1.493216624
503567	2125697	1.495766244
503667	2125697	1.498326095
503767	2125697	1.500896116
503867	2125697	1.503476248
503967	2125697	1.506066432
504067	2125697	1.50866661
504167	2125697	1.511276723
504267	2125697	1.513896715
504367	2125697	1.516526527
504467	2125697	1.519166103
504567	2125697	1.521815386
504667	2125697	1.524474321
504767	2125697	1.527142851
504867	2125697	1.529820922
504967	2125697	1.532508479
505067	2125697	1.535205467
505167	2125697	1.537911832
505267	2125697	1.540627521
505367	2125697	1.54335248
505467	2125697	1.546086657
505567	2125697	1.548829998
505667	2125697	1.551582452
505767	2125697	1.554343967
505867	2125697	1.557114492
505967	2125697	1.559893976
506067	2125697	1.562682367
506167	2125697	1.565479616
501367	2125797	1.438180627
501467	2125797	1.44050796
501567	2125797	1.442846875
501667	2125797	1.445197302
501767	2125797	1.447559174
501867	2125797	1.44993242
501967	2125797	1.452316973
502067	2125797	1.454712767
502167	2125797	1.457119732
502267	2125797	1.459537804
502367	2125797	1.461966916
502467	2125797	1.464407001
502567	2125797	1.466857996
502667	2125797	1.469319834
502767	2125797	1.471792452
502867	2125797	1.474275786
502967	2125797	1.476769772
503067	2125797	1.479274348
503167	2125797	1.48178945
503267	2125797	1.484315017
503367	2125797	1.486850988
503467	2125797	1.489397299
503567	2125797	1.491953892
503667	2125797	1.494520705
503767	2125797	1.497097679
503867	2125797	1.499684755
503967	2125797	1.502281872
504067	2125797	1.504888973
504167	2125797	1.507505999
504267	2125797	1.510132892
504367	2125797	1.512769595
504467	2125797	1.515416052
504567	2125797	1.518072205
504667	2125797	1.520737998
504767	2125797	1.523413376
504867	2125797	1.526098282
504967	2125797	1.528792664
505067	2125797	1.531496465
505167	2125797	1.534209631
505267	2125797	1.536932109
505367	2125797	1.539663846
505467	2125797	1.542404788
505567	2125797	1.545154883
505667	2125797	1.547914078
505767	2125797	1.550682322
505867	2125797	1.553459563
505967	2125797	1.556245751
506067	2125797	1.559040834
506167	2125797	1.561844762
501367	2125897	1.434219266
501467	2125897	1.436553745
501567	2125897	1.438899803
501667	2125897	1.441257367
501767	2125897	1.443626371
501867	2125897	1.446006744
501967	2125897	1.448398418
502067	2125897	1.450801325
502167	2125897	1.453215399
502267	2125897	1.455640572
502367	2125897	1.458076778
502467	2125897	1.46052395
502567	2125897	1.462982024
502667	2125897	1.465450935
502767	2125897	1.467930616
502867	2125897	1.470421006
502967	2125897	1.472922039
503067	2125897	1.475433653
503167	2125897	1.477955785
503267	2125897	1.480488372
503367	2125897	1.483031353
503467	2125897	1.485584667
503567	2125897	1.488148251
503667	2125897	1.490722047
503767	2125897	1.493305993
503867	2125897	1.49590003
503967	2125897	1.498504099
504067	2125897	1.50111814
504167	2125897	1.503742097
504267	2125897	1.506375909
504367	2125897	1.509019521
504467	2125897	1.511672875
504567	2125897	1.514335914
504667	2125897	1.517008582
504767	2125897	1.519690823
504867	2125897	1.522382581
504967	2125897	1.525083802
505067	2125897	1.527794431
505167	2125897	1.530514413
505267	2125897	1.533243696
505367	2125897	1.535982224
505467	2125897	1.538729945
505567	2125897	1.541486807
505667	2125897	1.544252757
505767	2125897	1.547027744
505867	2125897	1.549811714
505967	2125897	1.552604619
506067	2125897	1.555406406
506167	2125897	1.558217025
501267	2125997	1.427934151
501367	2125997	1.430264162
501467	2125997	1.432605816
501567	2125997	1.434959042
501667	2125997	1.437323771
501767	2125997	1.439699932
501867	2125997	1.442087457
501967	2125997	1.444486277
502067	2125997	1.446896324
502167	2125997	1.44931753
502267	2125997	1.451749829
502367	2125997	1.454193153
502467	2125997	1.456647436
502567	2125997	1.459112612
502667	2125997	1.461588616
502767	2125997	1.464075384
502867	2125997	1.466572851
502967	2125997	1.469080953
503067	2125997	1.471599626
503167	2125997	1.474128809
503267	2125997	1.476668437
503367	2125997	1.479218449
503467	2125997	1.481778784
503567	2125997	1.48434938
503667	2125997	1.486930177
503767	2125997	1.489521114
503867	2125997	1.492122131
503967	2125997	1.494733169
504067	2125997	1.49735417
504167	2125997	1.499985074
504267	2125997	1.502625823
504367	2125997	1.50527636
504467	2125997	1.507936628
504567	2125997	1.51060657
504667	2125997	1.513286128
504767	2125997	1.515975248
504867	2125997	1.518673874
504967	2125997	1.521381949
505067	2125997	1.524099421
505167	2125997	1.526826234
505267	2125997	1.529562335
505367	2125997	1.532307669
505467	2125997	1.535062184
505567	2125997	1.537825826
505667	2125997	1.540598544
505767	2125997	1.543380285
505867	2125997	1.546170999
505967	2125997	1.548970632
506067	2125997	1.551779135
501267	2126097	1.42397816
501367	2126097	1.426315378
501467	2126097	1.428664233
501567	2126097	1.431024655
501667	2126097	1.433396574
501767	2126097	1.43577992
501867	2126097	1.438174622
501967	2126097	1.440580613
502067	2126097	1.442997824
502167	2126097	1.445426188
502267	2126097	1.447865635
502367	2126097	1.450316101
502467	2126097	1.452777517
502567	2126097	1.455249819
502667	2126097	1.45773294
502767	2126097	1.460226816
502867	2126097	1.462731382
502967	2126097	1.465246574
503067	2126097	1.467772328
503167	2126097	1.470308581
503267	2126097	1.47285527
503367	2126097	1.475412334
503467	2126097	1.47797971
503567	2126097	1.480557337
503667	2126097	1.483145153
503767	2126097	1.4857431
503867	2126097	1.488351116
503967	2126097	1.490969142
504067	2126097	1.493597119
504167	2126097	1.496234988
504267	2126097	1.498882691
504367	2126097	1.50154017
504467	2126097	1.504207368
504567	2126097	1.506884228
504667	2126097	1.509570694
504767	2126097	1.512266708
504867	2126097	1.514972216
504967	2126097	1.517687162
505067	2126097	1.520411491
505167	2126097	1.523145149
505267	2126097	1.525888081
505367	2126097	1.528640235
505467	2126097	1.531401557
505567	2126097	1.534171993
505667	2126097	1.536951492
505767	2126097	1.539740001
505867	2126097	1.542537469
505967	2126097	1.545343844
506067	2126097	1.548159076
501167	2126197	1.417695777
501267	2126197	1.420028524
501367	2126197	1.422372976
501467	2126197	1.42472906
501567	2126197	1.427096705
501667	2126197	1.42947584
501767	2126197	1.431866395
501867	2126197	1.434268301
501967	2126197	1.436681488
502067	2126197	1.439105888
502167	2126197	1.441541432
502267	2126197	1.443988053
502367	2126197	1.446445683
502467	2126197	1.448914256
502567	2126197	1.451393706
502667	2126197	1.453883966
502767	2126197	1.456384972
502867	2126197	1.458896659
502967	2126197	1.461418962
503067	2126197	1.463951817
503167	2126197	1.466495162
503267	2126197	1.469048933
503367	2126197	1.471613067
503467	2126197	1.474187504
503567	2126197	1.47677218
503667	2126197	1.479367036
503767	2126197	1.48197201
503867	2126197	1.484587043
503967	2126197	1.487212075
504067	2126197	1.489847045
504167	2126197	1.492491897
504267	2126197	1.49514657
504367	2126197	1.497811008
504467	2126197	1.500485153
504567	2126197	1.503168947
504667	2126197	1.505862335
504767	2126197	1.508565259
504867	2126197	1.511277664
504967	2126197	1.513999494
505067	2126197	1.516730695
505167	2126197	1.519471212
505267	2126197	1.522220991
505367	2126197	1.524979978
505467	2126197	1.52774812
505567	2126197	1.530525364
505667	2126197	1.533311656
505767	2126197	1.536106946
505867	2126197	1.538911181
505967	2126197	1.541724309
506067	2126197	1.544546281
501067	2126297	1.411417049
501167	2126297	1.413745293
501267	2126297	1.416085307
501367	2126297	1.41843702
501467	2126297	1.420800359
501567	2126297	1.423175253
501667	2126297	1.42556163
501767	2126297	1.427959421
501867	2126297	1.430368555
501967	2126297	1.432788963
502067	2126297	1.435220576
502167	2126297	1.437663325
502267	2126297	1.440117143
502367	2126297	1.442581962
